,id,from,to,date,upcoming,season,marketValue,fee
1,250779,3911,10838,"Jul 20, 2015",False,15/16,€250k,loan transfer
2,250779,16674,3911,"Jul 1, 2013",False,13/14,,
3,250779,12773,16674,"Jul 1, 2011",False,11/12,,
0,344864,3911,995,"Aug 30, 2023",False,23/24,€4.00m,free transfer
1,344864,826,3911,"Sep 2, 2019",False,19/20,€2.00m,€2.00m
2,344864,8152,826,"Sep 14, 2016",False,16/17,€150k,
3,344864,10824,8152,"Jul 1, 2014",False,14/15,,
0,566823,172,3911,"Jun 30, 2024",True,23/24,€1.50m,End of loan
1,566823,3911,172,"Feb 1, 2024",False,23/24,€1.50m,loan transfer
2,566823,6603,3911,"Jul 29, 2022",False,22/23,€1.80m,€2.70m
3,566823,37485,6603,"Jul 1, 2018",False,18/19,€100k,
4,566823,20373,37485,"Jul 1, 2016",False,16/17,,
0,170544,3911,347,"Sep 1, 2023",False,23/24,€2.00m,?
1,170544,417,3911,"Aug 11, 2020",False,20/21,€5.50m,€4.00m
2,170544,1095,417,"Jul 1, 2018",False,18/19,€6.00m,€5.00m
3,170544,2067,1095,"Jul 25, 2016",False,16/17,€400k,?
4,170544,5407,2067,"Jul 1, 2015",False,15/16,,?
5,170544,750,5407,"Jul 1, 2014",False,14/15,,free transfer
6,170544,5407,750,"Jun 30, 2014",False,13/14,,End of loan
7,170544,750,5407,"Jul 2, 2013",False,13/14,,loan transfer
8,170544,10825,750,"Jul 1, 2013",False,13/14,,
0,862972,1147,3911,"Jun 30, 2024",True,23/24,€150k,End of loan
1,862972,3911,1147,"Jan 4, 2024",False,23/24,€150k,loan transfer
2,862972,61431,3911,"Jan 19, 2023",False,22/23,€250k,End of loan
3,862972,3911,61431,"Aug 10, 2022",False,22/23,,loan transfer
4,862972,16674,3911,"Aug 9, 2022",False,22/23,,
5,862972,12773,16674,"Jul 1, 2020",False,20/21,,
0,805908,1421,3911,"Jul 27, 2023",False,23/24,€2.50m,€500k
1,805908,3911,1421,"Jun 30, 2023",False,22/23,€2.50m,End of loan
2,805908,1421,3911,"Jan 31, 2023",False,22/23,€3.50m,loan transfer
3,805908,11204,1421,"Jul 1, 2021",False,21/22,,
4,805908,11605,11204,"Jul 1, 2020",False,20/21,,?
0,131827,3911,78435,"Aug 2, 2023",False,23/24,€1.00m,€600k
1,131827,33,3911,"Jun 30, 2023",False,22/23,€1.00m,End of loan
2,131827,3911,33,"Jan 7, 2023",False,22/23,€1.00m,loan transfer
3,131827,1184,3911,"Jul 20, 2021",False,21/22,€2.50m,€1.00m
4,131827,699,1184,"Jan 4, 2016",False,15/16,€900k,?
5,131827,2275,699,"Jan 1, 2012",False,11/12,,€700k
6,131827,15697,2275,"Jul 1, 2011",False,11/12,,
0,174196,683,3911,"Jan 1, 2023",False,22/23,€1.50m,free transfer
1,174196,667,683,"Feb 1, 2021",False,20/21,€9.00m,€500k
2,174196,826,667,"Jul 1, 2017",False,17/18,€700k,free transfer
3,174196,1423,826,"Jul 1, 2015",False,15/16,€800k,free transfer
4,174196,10004,1423,"Jul 1, 2011",False,11/12,,€100k
5,174196,20290,10004,"Jul 1, 2010",False,10/11,,
0,379168,3911,157,"Aug 8, 2023",False,23/24,€1.20m,free transfer
1,379168,1304,3911,"Jul 1, 2022",False,22/23,€550k,€350k
2,379168,43560,1304,"Jul 20, 2020",False,20/21,€275k,?
3,379168,724,43560,"Jun 30, 2020",False,19/20,€275k,End of loan
4,379168,43560,724,"Jul 31, 2019",False,19/20,€150k,loan transfer
5,379168,25003,43560,"Jul 1, 2016",False,16/17,,
6,379168,25005,25003,"Jul 1, 2015",False,15/16,,?
7,379168,34281,25005,"Jul 1, 2010",False,10/11,,free transfer
0,377393,1123,3911,"Jul 23, 2022",False,22/23,€5.00m,€2.30m
1,377393,417,1123,"Jul 13, 2021",False,21/22,€7.00m,€3.90m
2,377393,2969,417,"Jul 1, 2017",False,17/18,€2.50m,€4.00m
3,377393,40391,2969,"Jul 1, 2015",False,15/16,,free transfer
4,377393,23216,40391,"Jul 1, 2013",False,13/14,,free transfer
0,138055,3911,26587,"Sep 12, 2023",False,23/24,€3.00m,free transfer
1,138055,3161,3911,"Jul 1, 2018",False,18/19,€800k,free transfer
2,138055,16663,3161,"Jul 10, 2014",False,14/15,,free transfer
3,138055,26594,16663,"Jul 1, 2011",False,11/12,,free transfer
0,324795,618,3911,"Jul 1, 2023",False,23/24,€3.00m,€3.00m
1,324795,3911,618,"Jun 30, 2023",False,22/23,€3.00m,End of loan
2,324795,618,3911,"Aug 26, 2022",False,22/23,€6.00m,loan transfer
