,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,id,assists,goals,secondYellowCards
20,TR1,36,2018,Süper Lig,15,4,,,1.255',,174915,,1,1
21,TRP,36,2018,Türkiye Kupasi,3,1,,,260',,174915,,1,
22,GB1,762,2017,Premier League,4,1,,,130',,174915,1,,
23,FAC,1003,2017,FA Cup,2,,,,136',,174915,1,,
24,GB1,1003,2017,Premier League,12,,,,239',,174915,1,1,
25,CGB,1003,2017,EFL Cup,3,1,,,270',,174915,,4,
26,GB1,1003,2016,Premier League,23,1,,,1.277',,174915,4,7,
27,CL,1003,2016,Champions League,5,2,,,271',,174915,1,1,
28,FAC,1003,2016,FA Cup,1,,,,29',,174915,,,
29,PO1,336,2016,Liga NOS,2,,,,180',,174915,,1,
30,PO1,336,2015,Liga NOS,33,8,,,2.887',,174915,6,27,
31,EL,336,2015,Europa League,7,,,,237',,174915,,1,
32,POCP,336,2015,Allianz Cup,1,,,,32',,174915,,,
33,POPO,336,2015,Taça de Portugal,2,2,,,240',,174915,,2,
34,CLQ,336,2015,Champions League Qu.,2,1,,,112',,174915,,1,
35,POSU,336,2015,Supertaça,1,1,,,90',,174915,,,
36,POPO,336,2014,Taça de Portugal,5,2,,,290',,174915,1,1,
37,PO1,336,2014,Liga NOS,21,3,,,1.520',,174915,4,12,
38,EL,336,2014,Europa League,1,,,,26',,174915,,,
39,CL,336,2014,Champions League,6,,,,460',,174915,,2,
40,PO1,336,2013,Liga Sagres,26,4,,,1.110',,174915,4,8,
41,POCP,336,2013,Allianz Cup,2,,,,153',,174915,,,
42,POPO,336,2013,Taça de Portugal,2,1,,,73',,174915,,2,
43,PO2,10949,2013,Liga Sabseg,1,1,,,90',,174915,,,
44,ALG1,13365,2012,Ligue Professionnelle 1,15,5,,,1.291',,174915,1,4,
45,ALGP,13365,2012,Coupe d'Algerie,2,1,,,180',,174915,,2,
46,ALG1,13365,2011,Ligue Professionnelle 1,26,3,,,2.183',,174915,3,10,
47,ALGP,13365,2011,Coupe d'Algerie,4,2,,,420',,174915,,1,
48,ALG1,13365,2010,Ligue Professionnelle 1,27,4,,,2.017',,174915,1,10,
49,ALGP,13365,2010,Coupe d'Algerie,1,,,,33',,174915,,1,
50,ALG1,13365,2009,Division 1,29,,,,1.687',,174915,5,8,
51,ALGP,13365,2009,Coupe d'Algerie,1,,,,90',,174915,,,
0,FR2,11273,2023,Ligue 2,21,3,,,814',,855056,2,6,1
1,FRC,11273,2023,Coupe de France,2,,,,114',,855056,,,
2,C3BR,16674,2022,N3 - Bretagne,3,2,,,246',,855056,,1,
3,FR1,3911,2022,Ligue 1,4,,,,126',,855056,,,
4,FRC,3911,2022,Coupe de France,1,,,,19',,855056,,,
5,FR2,1147,2021,Ligue 2,18,1,,,375',,855056,,1,
6,C3CM,8305,2021,N3 - Corse-Médit,8,2,,,691',,855056,,1,
7,FRC,1147,2021,Coupe de France,1,,,,80',,855056,,,
8,FR2,1147,2020,Ligue 2,4,,,,103',,855056,,1,
9,FRYC,10884,2019,Coupe Gambardella,,,,,,,855056,,,
0,TR1,3840,2021,Süper Lig,2,,,,27',,45121,,,
1,TR1,126,2021,Süper Lig,8,,,,262',,45121,,,
2,TRP,126,2021,Türkiye Kupasi,1,,,,90',,45121,,,
3,TR1,126,2020,Süper Lig,19,1,,,1.014',,45121,1,7,
4,FR1,1082,2019,Ligue 1,20,2,,,964',,45121,,7,
5,FRC,1082,2019,Coupe de France,3,,,,257',,45121,,3,
6,FRL,1082,2019,Coupe de la Ligue,3,,,,104',,45121,,3,
7,CL,1082,2019,Champions League,4,,,,207',,45121,,1,
8,FR1,1082,2018,Ligue 1,26,3,,,1.203',,45121,2,7,
9,FRC,1082,2018,Coupe de France,2,,,,117',,45121,,,
10,FRL,1082,2018,Coupe de la Ligue,1,,,,76',,45121,,,
11,ES1,3709,2017,LaLiga,11,2,,,457',,45121,,3,1
12,ES1,472,2017,LaLiga,12,1,,,760',,45121,,5,
13,CDR,472,2017,Copa del Rey,1,,,,17',,45121,,1,
14,GB1,873,2016,Premier League,5,,,,131',,45121,,,
15,FAC,873,2016,FA Cup,3,,,,152',,45121,,,
16,GB1,631,2015,Premier League,13,,,,283',,45121,,1,
17,FAC,631,2015,FA Cup,1,,,,8',,45121,,,
18,CL,631,2015,Champions League,3,,,,101',,45121,1,,
19,CGB,631,2015,League Cup,2,,,,177',,45121,,2,
20,GBCS,631,2015,Community Shield,1,,,,45',,45121,,,
21,GB1,631,2014,Premier League,19,,,,664',,45121,,7,
22,CL,631,2014,Champions League,4,,,,59',,45121,,1,
23,CGB,631,2014,League Cup,2,,,,99',,45121,1,,
24,FAC,631,2014,FA Cup,2,,,,166',,45121,1,1,
25,GB1,1039,2014,Premier League,2,,,,180',,45121,,,
26,GB1,762,2013,Premier League,26,2,,,2.103',1,45121,3,14,
27,FAC,762,2013,FA Cup,1,,,,5',,45121,,,
28,CGB,762,2013,League Cup,,,,,,,45121,,,
29,GB1,1039,2012,Premier League,14,1,,,1.142',,45121,,6,
30,FRC,244,2012,Coupe de France,1,,,,120',,45121,,,
31,FR1,244,2012,Ligue 1,14,,,,411',,45121,,1,
32,EL,244,2012,Europa League,5,2,,,398',,45121,1,2,
33,FRL,244,2012,Coupe de la Ligue,1,,,,72',,45121,,,
34,ELQ,244,2012,Europa League Qualifying,2,,,,83',,45121,,,
35,FR1,244,2011,Ligue 1,29,1,,,2.227',,45121,6,12,
36,FRL,244,2011,Coupe de la Ligue,4,1,,,298',,45121,,4,
37,CL,244,2011,Champions League,9,1,,,680',,45121,2,2,
38,FRC,244,2011,Coupe de France,4,1,,,239',,45121,,3,
39,FRCH,244,2011,Trophée des Champions,1,,,,90',,45121,,1,
40,FR1,244,2010,Ligue 1,31,,,,2.162',1,45121,4,15,
41,CL,244,2010,Champions League,7,1,,,545',,45121,,2,
42,FRL,244,2010,Coupe de la Ligue,2,,,,33',,45121,,,
43,FRC,244,2010,Coupe de France,1,,,,71',,45121,,,
44,FR1,417,2010,Ligue 1,2,,,,180',,45121,,1,
45,FR1,417,2009,Ligue 1,34,1,,,2.874',,45121,5,14,
46,FRC,417,2009,Coupe de France,1,,,,90',,45121,,1,
47,FRL,417,2009,Coupe de la Ligue,1,,,,90',,45121,,1,
48,FR1,417,2008,Ligue 1,32,1,,,2.769',1,45121,3,11,
49,FRL,417,2008,Coupe de la Ligue,3,,,,300',,45121,,2,
50,FRC,417,2008,Coupe de France,1,,,,90',,45121,,,
51,FR1,826,2007,Ligue 1,10,1,,,726',,45121,2,3,
52,FRL,826,2007,Coupe de la Ligue,2,,,,110',,45121,,1,
53,FR1,1041,2007,Ligue 1,6,1,,,62',,45121,,,
54,FRL,1041,2007,Coupe de la Ligue,1,,,,90',,45121,,,
55,FRC,1041,2007,Coupe de France,1,,,,15',,45121,,,
56,CL,1041,2007,Champions League,1,,,,8',,45121,,,
57,FRCH,1041,2007,Trophée des Champions,,,,,,,45121,,,
58,FR1,1041,2006,Ligue 1,6,1,,,187',,45121,,,
59,FRC,1041,2006,Coupe de France,2,,,,134',,45121,,,
60,FRL,1041,2006,Coupe de la Ligue,1,,,,23',,45121,1,,
61,CL,1041,2006,Champions League,1,,,,10',,45121,,,
62,FRCH,1041,2006,Trophée des Champions,,,,,,,45121,,,
0,FR1,417,2023,Ligue 1,,,,,,,127188,,,
1,FRC,417,2023,Coupe de France,,,,,,,127188,,,
2,BE1,58,2023,Jupiler Pro League,7,,7,2,630',,127188,,,
3,CCB,58,2023,Croky Cup,2,,,2,180',,127188,,,
4,FR1,415,2022,Ligue 1,38,2,57,9,3.420',,127188,,,
5,FRC,415,2022,Coupe de France,,,,,,,127188,,,
6,FR2,415,2021,Ligue 2,38,,33,16,3.420',,127188,,,
7,FRC,415,2021,Coupe de France,,,,,,,127188,,,
8,FRR1,415,2020,Rel. Ligue 1,3,,2,2,270',,127188,,,
9,FR2,415,2020,Ligue 2,37,,39,16,3.330',,127188,,,
10,FR2,3524,2019,Ligue 2,27,,25,8,2.430',,127188,,,
11,FRC,3524,2019,Coupe de France,,,,,,,127188,,,
12,FRL,3524,2019,Coupe de la Ligue,,,,,,,127188,,,
13,FR1,995,2018,Ligue 1,11,1,17,1,939',,127188,,,
14,FRC,995,2018,Coupe de France,3,,1,2,270',,127188,,,
15,FRL,995,2018,Coupe de la Ligue,1,,,1,90',,127188,,,
16,FR1,995,2017,Ligue 1,1,,3,,90',,127188,,,
17,FRC,995,2017,Coupe de France,2,,4,1,180',,127188,,,
18,FRL,995,2017,Coupe de la Ligue,1,,3,,90',,127188,,,
19,FR1,995,2016,Ligue 1,16,1,20,5,1.440',,127188,,,
20,FRC,995,2016,Coupe de France,2,,2,,180',,127188,,,
21,FRL,995,2016,Coupe de la Ligue,2,1,3,,180',,127188,,,
22,CN2A,10850,2016,CFA - Grp. A,2,,2,,180',,127188,,,
23,FR1,995,2015,Ligue 1,7,,12,1,630',,127188,,,
24,FRC,995,2015,Coupe de France,4,,6,2,450',,127188,,,
25,FRL,995,2015,Coupe de la Ligue,1,,3,,120',,127188,,,
26,FR1,995,2014,Ligue 1,6,,5,2,540',,127188,,,
27,FRC,995,2014,Coupe de France,3,,4,1,270',,127188,,,
28,FRL,995,2014,Coupe de la Ligue,,,,,,,127188,,,
29,FR1,995,2013,Ligue 1,4,1,3,3,360',,127188,,,
30,FRL,995,2013,Coupe de la Ligue,,,,,,,127188,,,
31,FR2,995,2011,Ligue 2,,,,,,,127188,,,
32,FRL,995,2011,Coupe de la Ligue,,,,,,,127188,,,
33,FR2,995,2010,Ligue 2,,,,,,,127188,,,
0,NO1,501,2024,Eliteserien,,,,,,,328770,,,
1,UCOL,501,2023,Conference League,2,,4,,210',,328770,,,
2,NO1,10217,2023,Eliteserien,11,1,19,1,990',,328770,,,
3,FR1,415,2022,Ligue 1,,,,,,,328770,,,
4,FRC,415,2022,Coupe de France,6,,5,1,540',,328770,,,
5,NO1,76,2022,Eliteserien,12,,22,1,1.080',,328770,,,
6,NOPO,76,2022,NM-Cup,2,,4,,180',,328770,,,
7,ECLQ,76,2021,UECL Qualifiers,1,,,1,90',,328770,,,
8,NO1,76,2021,Eliteserien,14,,15,3,1.224',,328770,,,
9,NOPO,76,2021,NM-Cup,3,,4,1,300',,328770,,,
10,NO31,35029,2021,PostNord-ligaen Avd. 1,5,,10,,450',,328770,,,
11,NO1,76,2020,Eliteserien,2,1,,2,144',,328770,,,
12,NO31,35029,2020,PostNord-ligaen Avd. 1,11,2,28,,990',,328770,,,
13,NO1,76,2019,Eliteserien,,,,,,,328770,,,
14,NOPO,76,2019,NM-Cup,2,,,2,180',,328770,,,
15,NO31,30721,2018,PostNord-ligaen Avd. 1,12,,21,4,1.080',,328770,,,
16,NO2,2038,2018,OBOS-ligaen,,,,,,,328770,,,
17,NOPO,2038,2018,NM-Cup,2,,3,,210',,328770,,,
18,ES3C,18446,2017,2ª B - Grupo III,,,,,,,328770,,,
19,GB21,9265,2017,Premier League 2,,,,,,,328770,,,
20,GBFL,9265,2017,EFL Trophy,,,,,,,328770,,,
21,GB21,9265,2016,Premier League 2,,,,,,,328770,,,
22,GB21,24226,2016,Premier League 2,1,,,1,90',,328770,,,
23,19YL,41593,2016,UEFA Youth League,1,,2,,90',,328770,,,
24,FAYC,6930,2015,FA Youth Cup,,,,,,,328770,,,
25,GB21,9265,2015,U21 PL,,,,,,,328770,,,
26,19YL,41593,2015,UEFA Youth League,,,,,,,328770,,,
27,GB21,9265,2014,U21 PL,,,,,,,328770,,,
28,FAYC,6930,2014,FA Youth Cup,5,,7,1,450',,328770,,,
29,19YL,41593,2014,UEFA Youth League,,,,,,,328770,,,
0,C3OC,9371,2021,N3 - Occitanie,15,1,14,5,1.350',,835136,,,
1,FRC,415,2021,Coupe de France,,,,,,,835136,,,
2,FR2,415,2021,Ligue 2,,,,,,,835136,,,
3,FRC,415,2020,Coupe de France,,,,,,,835136,,,
4,C3OC,9371,2020,N3 - Occitanie,1,,4,,90',,835136,,,
5,C3OC,9371,2019,N3 - Occitanie,7,,12,,630',,835136,,,
6,FRYC,9372,2018,Coupe Gambardella,1,,2,,90',,835136,,,
0,FR1,415,2023,Ligue 1,27,2,36,5,2.430',,912902,,,
1,EL,415,2023,Europa League,8,2,11,3,720',,912902,,,
2,FRC,415,2023,Coupe de France,,,,,,,912902,,,
3,FRCH,415,2023,Trophée des Champions,1,,2,,90',,912902,,,
4,C3OC,9371,2022,N3 - Occitanie,12,,9,5,919',2,912902,,,
5,FRC,415,2022,Coupe de France,,,,,,,912902,,,
6,F19D,9372,2022,National U19 - Grp. D,1,,1,,90',,912902,,,
7,C3OC,9371,2021,N3 - Occitanie,4,,4,2,360',,912902,,,
8,FRC,415,2021,Coupe de France,,,,,,,912902,,,
0,L1,79,2023,Bundesliga,18,3,,,907',,690799,2,,
1,DFB,79,2023,DFB-Pokal,2,,,,109',,690799,,,
2,FR1,415,2023,Ligue 1,,,,,,,690799,,,
3,FR1,415,2022,Ligue 1,37,2,,,3.316',,690799,1,2,1
4,FRC,415,2022,Coupe de France,3,,,,126',,690799,,,
5,FR2,415,2021,Ligue 2,27,3,,,2.355',,690799,1,4,
6,FRC,415,2021,Coupe de France,1,,,,90',,690799,,,
7,FRR1,415,2020,Rel. Ligue 1,,,,,,,690799,,,
8,FR2,415,2020,Ligue 2,15,2,,,1.122',1,690799,,,1
9,FRC,415,2020,Coupe de France,3,1,,,225',,690799,,,
10,C3OC,9371,2020,N3 - Occitanie,1,,,,90',,690799,1,1,
11,C3OC,9371,2019,N3 - Occitanie,8,,,,712',,690799,,,
12,FRYC,9372,2018,Coupe Gambardella,1,1,,,90',,690799,,,
0,FR1,415,2023,Ligue 1,27,4,,,2.394',,283227,,1,
1,EL,415,2023,Europa League,8,1,,,720',,283227,,,
2,FRC,415,2023,Coupe de France,1,,,,90',,283227,,1,
3,FRCH,415,2023,Trophée des Champions,1,,,,90',,283227,,,
4,FR1,415,2022,Ligue 1,34,5,,,2.996',,283227,2,,1
5,FRC,415,2022,Coupe de France,5,,,,422',,283227,,,
6,FR2,415,2021,Ligue 2,32,6,,,2.835',,283227,2,4,
7,FRC,415,2021,Coupe de France,4,,,,293',,283227,,,
8,CLQ,865,2021,Champions League Qu.,3,,,,187',,283227,,,
9,DK1,865,2021,Superliga,3,1,,,118',,283227,,,
10,GB3,1020,2020,League One,21,3,,,1.258',,283227,,,
11,GBFL,1020,2020,EFL Trophy,3,,,,270',,283227,,,
12,FAC,1020,2020,FA Cup,3,1,,,255',,283227,1,1,
13,DK1,865,2020,Superliga,,,,,,,283227,,,
14,CLQ,865,2020,Champions League Qu.,,,,,,,283227,,,
15,GBFL,1020,2019,EFL Trophy,,,,,,,283227,,,
16,DKMR,865,2019,Superliga Championship round,5,1,,,217',,283227,,,
17,DK1,865,2019,Superliga,11,2,,,583',,283227,,1,
18,DKRQ,62685,2019,Reserveligaen Spring,1,,,,90',,283227,,,
19,DKRE,62685,2019,Reserveligaen,5,,,,440',,283227,,2,
20,DKP,865,2019,Oddset Pokalen,1,1,,,90',,283227,,,
21,ELQ,865,2019,Europa League Qualifying,2,2,,,162',,283227,,,
22,DKMR,865,2018,Superliga Championship round,4,,,,299',,283227,1,,
23,DKP,865,2018,Oddset Pokalen,1,,,,26',,283227,,,
24,DKRQ,62685,2018,Reserveligaen Spring,4,,,,315',,283227,,,
25,DK1,865,2018,Superliga,13,3,,,962',,283227,2,4,1
26,DKRE,62685,2018,Reserveligaen,3,,,,225',,283227,,,
27,ELQ,865,2018,Europa League Qualifying,2,,,,180',,283227,,,
28,DKMR,865,2017,Superliga Championship round,1,,,,13',,283227,,,
29,DKRE,62685,2017,Reserveligaen,3,,,,270',,283227,,,
30,DK1,865,2017,Superliga,1,,,,44',,283227,,,
31,DKRL,865,2016,Superligaen Releg.,1,,,,90',,283227,,1,
32,DKMR,865,2016,Superliga Championship round,7,,,,507',,283227,,,
33,DKP,865,2016,Oddset Pokalen,2,,,,164',,283227,,,
34,DKDL,9054,2016,U19 Boys League,3,1,,,253',,283227,,1,
35,DK1,865,2016,Superliga,,,,,,,283227,,,
36,19YL,50935,2016,UEFA Youth League,4,,,,390',,283227,,,
37,19YL,50935,2015,UEFA Youth League,4,,,,342',,283227,,,
0,FR1,415,2023,Ligue 1,24,6,,,2.015',,484988,1,1,
1,EL,415,2023,Europa League,7,,,,630',,484988,,,1
2,FR1,415,2022,Ligue 1,6,,,,413',,484988,,,
3,FRC,415,2022,Coupe de France,6,,,,532',,484988,1,2,
4,C3OC,9371,2022,N3 - Occitanie,1,,,,75',,484988,,1,
5,FR2,415,2021,Ligue 2,3,1,,,98',,484988,,,
6,C3OC,9371,2021,N3 - Occitanie,10,1,,,887',,484988,,,1
7,FRC,415,2021,Coupe de France,4,,,,360',,484988,,1,
8,FR3,1164,2020,Championnat National,26,1,,,2.340',,484988,1,,
9,CN2A,11204,2019,National 2 - Grp. A,19,2,,,1.710',,484988,,2,
10,FRC,1421,2019,Coupe de France,,,,,,,484988,,,
11,FR1,1421,2019,Ligue 1,,,,,,,484988,,,
12,FRL,1421,2019,Coupe de la Ligue,,,,,,,484988,,,
13,CN2D,11204,2018,National 2 - Grp. D,6,,,,511',,484988,1,,
14,FR2,1421,2017,Ligue 2,,,,,,,484988,,,
0,FR1,415,2023,Ligue 1,16,2,,,892',,694509,1,,
1,EL,415,2023,Europa League,8,2,,,551',,694509,,,
2,FRCH,415,2023,Trophée des Champions,1,,,,90',,694509,,,
3,FR1,415,2022,Ligue 1,23,,,,1.218',,694509,2,,
4,FRC,415,2022,Coupe de France,2,,,,25',,694509,,,
5,FR2,415,2021,Ligue 2,25,2,,,1.054',,694509,1,,
6,C3OC,9371,2021,N3 - Occitanie,1,,,,84',,694509,,,
7,FRC,415,2021,Coupe de France,5,,,,427',,694509,,,
8,FRR1,415,2020,Rel. Ligue 1,,,,,,,694509,,,
9,FR2,415,2020,Ligue 2,17,,,,551',,694509,1,,
10,FRC,415,2020,Coupe de France,3,,,,270',,694509,,,
11,C3OC,9371,2019,N3 - Occitanie,13,4,,,1.170',,694509,,,
12,FR1,415,2019,Ligue 1,1,,,,90',,694509,,,
13,FRC,415,2019,Coupe de France,,,,,,,694509,,,
14,FRL,415,2019,Coupe de la Ligue,2,,,,180',,694509,,,
15,FRYC,9372,2018,Coupe Gambardella,1,,,,90',,694509,,,
0,FR1,415,2023,Ligue 1,5,1,,,315',,855014,,,
1,EL,415,2023,Europa League,2,,,,67',,855014,,,
2,FRC,415,2023,Coupe de France,1,,,,90',,855014,,,
3,FRCH,415,2023,Trophée des Champions,,,,,,,855014,,,
4,C3OC,9371,2022,N3 - Occitanie,8,,,,695',,855014,,1,
5,FR1,415,2022,Ligue 1,11,1,,,357',,855014,,,
6,FRC,415,2022,Coupe de France,,,,,,,855014,,,
7,C3OC,9371,2021,N3 - Occitanie,11,,,,990',,855014,,,
8,FRC,415,2021,Coupe de France,,,,,,,855014,,,
9,FRC,415,2020,Coupe de France,1,,,,72',,855014,,,
10,FRYC,9372,2019,Coupe Gambardella,2,,,,180',,855014,,,
0,FR1,415,2023,Ligue 1,13,1,,,986',,1005240,,2,
1,EL,415,2023,Europa League,2,1,,,110',,1005240,,,1
2,FRC,415,2023,Coupe de France,2,,,,180',,1005240,,,
3,FRCH,415,2023,Trophée des Champions,1,,,,76',,1005240,,,
4,CN2A,9371,2023,National 2 - Grp. A,3,,,,228',,1005240,,,
5,C3OC,9371,2022,N3 - Occitanie,15,3,,,1.350',,1005240,,,
6,FR1,415,2022,Ligue 1,2,1,,,97',,1005240,,,
7,FRC,415,2022,Coupe de France,1,,,,14',,1005240,,,
8,F19D,9372,2022,National U19 - Grp. D,1,1,,,90',,1005240,,,
0,FR1,969,2023,Ligue 1,14,2,,,1.175',,220878,1,1,
1,FRC,969,2023,Coupe de France,,,,,,,220878,,,
2,FR1,969,2022,Ligue 1,15,,,,1.305',,220878,3,1,
3,FRC,415,2022,Coupe de France,1,1,,,90',,220878,,,
4,FR1,415,2022,Ligue 1,17,3,,,1.376',,220878,,,
5,FR2,415,2021,Ligue 2,25,2,,,1.964',,220878,2,,
6,FRC,415,2021,Coupe de France,1,,,,16',,220878,,,
7,FR1,826,2020,Ligue 1,20,,,,1.116',1,220878,,1,
8,FRC,826,2020,Coupe de France,1,,,,90',,220878,,,
9,CN2B,8152,2020,National 2 - Grp. B,1,,,,74',,220878,,,
10,FR1,415,2019,Ligue 1,28,2,,,2.520',,220878,2,,
11,FRL,415,2019,Coupe de la Ligue,1,,,,2',,220878,,,
12,FR1,415,2018,Ligue 1,24,5,,,1.993',,220878,,2,
13,FRC,415,2018,Coupe de France,3,2,,,287',,220878,2,,
14,FRL,415,2018,Coupe de la Ligue,1,1,,,90',,220878,,,
15,FRR1,415,2017,Rel. Ligue 1,,,,,,,220878,,,
16,FR1,415,2017,Ligue 1,25,5,,,1.596',,220878,3,1,
17,FRC,415,2017,Coupe de France,1,,,,90',,220878,,,
18,FRL,415,2017,Coupe de la Ligue,2,1,,,98',,220878,,1,
19,FR1,415,2016,Ligue 1,27,6,,,1.678',,220878,1,1,
20,FRC,415,2016,Coupe de France,1,,,,46',,220878,,,
21,FRL,415,2016,Coupe de la Ligue,2,,,,165',,220878,1,,
22,FR1,3558,2015,Ligue 1,34,7,,,2.694',,220878,4,,2
23,FRC,3558,2015,Coupe de France,3,,,,270',,220878,,,
24,FRL,3558,2015,Coupe de la Ligue,1,,,,120',,220878,,,
25,FR1,415,2014,Ligue 1,12,1,,,744',,220878,1,1,
26,FRL,415,2014,Coupe de la Ligue,,,,,,,220878,,,
27,FR1,415,2013,Ligue 1,32,4,,,2.447',,220878,1,3,
28,FRC,415,2013,Coupe de France,2,,,,180',,220878,,,
29,FRL,415,2013,Coupe de la Ligue,2,,,,104',,220878,,1,
30,FR1,415,2012,Ligue 1,4,,,,233',,220878,,1,
31,FRC,415,2012,Coupe de France,,,,,,,220878,,,
32,ACL,8474,2011,CAF-Champions League,1,,,,90',,220878,,,
0,FR1,415,2023,Ligue 1,24,5,,,1.881',,385105,2,,
1,EL,415,2023,Europa League,8,2,,,579',,385105,,2,
2,FRC,415,2023,Coupe de France,2,,,,180',,385105,,,
3,FRCH,415,2023,Trophée des Champions,1,,,,90',,385105,,,
4,FR1,415,2022,Ligue 1,18,1,,,1.257',,385105,1,,
5,FRC,415,2022,Coupe de France,4,,,,360',,385105,1,1,
6,CLPD,2433,2022,Primera División,26,3,,,2.286',,385105,3,3,
7,CH1C,2433,2022,Copa Chile,3,,,,166',,385105,,,
8,CS,2433,2022,Copa Sudamericana,2,,,,180',,385105,,,
9,CLI,2433,2022,Libertadores,6,2,,,524',,385105,1,,
10,CSUC,2433,2022,Supercopa de Chile,1,,,,90',,385105,1,,
11,CLPD,2433,2021,Primera División,25,3,,,2.151',1,385105,1,,
12,CH1C,2433,2021,Copa Chile,7,2,,,539',,385105,1,,
13,CSUC,2433,2020,Supercopa de Chile,1,,,,90',,385105,,,
14,CHDP,2433,2019,Liguilla de Promoción,1,,,,90',,385105,,,
15,CLPD,2433,2020,Primera División,29,9,,,2.510',,385105,1,1,
16,CLI,2433,2020,Libertadores,6,,,,540',,385105,,1,
17,CLPD,2433,2019,Primera División,23,5,,,1.895',,385105,4,3,
18,CH1C,2433,2019,Copa Chile,3,2,,,270',,385105,2,,
19,CS,2433,2019,Copa Sudamericana,1,1,,,90',,385105,,,
20,CLPD,2433,2018,Primera División,19,4,,,1.286',,385105,1,,
21,CLI,2433,2018,Libertadores,6,1,,,185',,385105,,,
22,CH1C,2433,2018,Copa Chile,2,,,,90',,385105,,,
23,CSUC,2433,2018,Supercopa de Chile,1,,,,56',1,385105,,,
24,CHI,2433,2017,Torneo Transición,14,1,,,1.207',,385105,1,,1
25,CH1C,2433,2017,Copa Chile,3,1,,,256',,385105,,1,
26,CSUC,2433,2017,Supercopa de Chile,1,1,,,90',,385105,,,
27,CHL1,2433,2016,Torneo Clausura,13,3,,,1.040',,385105,,1,
28,CLI,2433,2017,Libertadores,,,,,,,385105,,,
29,CHLA,2433,2016,Torneo Apertura,9,1,,,454',,385105,,,
30,CH1C,2433,2016,Copa Chile,9,2,,,548',,385105,1,,
31,CHL1,2433,2015,Torneo Clausura,5,1,,,274',,385105,,,1
32,CLI,2433,2016,Libertadores,1,,,,39',,385105,,,
33,CHLA,2433,2015,Torneo Apertura,2,1,,,149',,385105,,,
34,CH1C,2433,2015,Copa Chile,,,,,,,385105,,,
0,DK1,5724,2023,Superliga,5,2,,,303',,611195,1,,
1,FR1,415,2023,Ligue 1,,,,,,,611195,,,
2,FRC,415,2023,Coupe de France,,,,,,,611195,,,
3,DKRE,62688,2023,Future Cup,1,,,,45',,611195,,,
4,CN2A,9371,2023,National 2 - Grp. A,3,,,,153',,611195,,,
5,C3OC,9371,2022,N3 - Occitanie,5,2,,,412',,611195,,1,1
6,FRC,415,2022,Coupe de France,1,,,,90',,611195,1,,
7,FR1,415,2022,Ligue 1,5,,,,143',,611195,,,
8,SE1,1101,2022,Allsvenskan,13,1,,,699',,611195,3,2,
9,SEC,1101,2021,Svenska Cupen,4,1,,,360',,611195,1,,
10,ECLQ,1101,2021,UECL Qualifiers,2,,,,66',,611195,,,
11,SE1,1101,2021,Allsvenskan,5,1,,,378',,611195,1,,
12,S21M,8864,2019,U21 Allsvenskan Mellersta,,,,,,,611195,,,
13,19YL,50923,2019,UEFA Youth League,2,,,,180',,611195,,,
14,19YL,50923,2018,UEFA Youth League,3,,,,270',,611195,,,
0,CN2A,9371,2023,National 2 - Grp. A,7,1,,,564',,923758,,,
1,FR1,415,2023,Ligue 1,,,,,,,923758,,,
2,FRC,415,2023,Coupe de France,,,,,,,923758,,,
3,FR1,415,2022,Ligue 1,,,,,,,923758,,,
4,F19D,9372,2022,National U19 - Grp. D,8,1,,,710',,923758,,,
0,FR1,415,2023,Ligue 1,20,2,,,1.328',,221873,1,,
1,EL,415,2023,Europa League,7,2,,,553',,221873,,1,
2,FR1,415,2022,Ligue 1,27,3,,,2.262',,221873,2,1,1
3,FRC,415,2022,Coupe de France,5,1,,,328',,221873,,,
4,FR2,415,2021,Ligue 2,38,5,,,3.300',1,221873,6,1,
5,FRC,415,2021,Coupe de France,2,1,,,164',,221873,,,
6,NO1,2761,2021,Eliteserien,10,,,,900',,221873,,1,
7,NO1,2761,2020,Eliteserien,28,3,,,2.404',,221873,8,,
8,ELQ,2761,2019,Europa League Qualifying,6,1,,,540',,221873,3,,
9,NOPO,2761,2019,NM-Cup,6,1,,,570',,221873,,,
10,NO1,2761,2019,Eliteserien,29,5,,,2.565',,221873,2,1,
11,DKRQ,62690,2018,Reserveligaen Spring,3,,,,270',,221873,,1,
12,DK1,173,2018,Superliga,12,2,,,585',,221873,,,
13,DKP,173,2018,Oddset Pokalen,3,,,,289',,221873,,,
14,DKRE,62690,2018,Reserveligaen,4,,,,360',,221873,,,
15,DKRE,62690,2017,Reserveligaen,4,,,,348',,221873,2,2,
16,DKPL,173,2017,Superligaen Playoffs,,,,,,,221873,,,
17,DKAR,173,2017,Superliga Relegation round,5,2,,,369',,221873,,,
18,DK1,173,2017,Superliga,17,1,,,1.376',,221873,1,,
19,DKP,173,2017,Oddset Pokalen,1,,,,90',,221873,,,
20,DKPL,173,2016,Superligaen Playoffs,4,1,,,347',,221873,1,1,
21,DKAR,173,2016,Superliga Relegation round,6,,,,481',,221873,,,
22,DK1,173,2016,Superliga,24,2,,,1.981',,221873,3,,
23,DKP,173,2016,Oddset Pokalen,,,,,,,221873,,,
24,DK1,173,2015,Superliga,19,1,,,1.354',,221873,3,,
25,DK1,173,2014,Superliga,27,4,,,1.671',,221873,3,,
