,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
352,351843,Yoann Salmier,Centre-Back,"Nov 21, 1992",30,French Guiana,Le Havre AC,"1,88m",right,"Jul 1, 2019",RC Strasbourg Alsace,€2.00m,,,
353,917120,Tanguy Zoukrou,Centre-Back,"May 7, 2003",20,France,ESTAC Troyes,"1,89m",right,"Jul 1, 2022",ESTAC Troyes B,€1.00m,,,
354,51118,Adil Rami,Centre-Back,"Dec 27, 1985",37,France,Retired,"1,91m",right,"Aug 24, 2021",Boavista FC,€250k,,,
355,991649,Eric N'Jo,Centre-Back,"Jun 1, 2004",19,France,ESTAC Troyes,"1,95m",right,"Jul 1, 2022",ESTAC Troyes U19,€200k,,,
356,917101,Rudy Kohon,Centre-Back,"May 23, 2004",19,France,ESTAC Troyes,"1,87m",right,"Jul 1, 2023",ESTAC Troyes B,€100k,,"Internal transfer: ESTAC Troyes B; date: Jul 1, 2023",
357,554251,Yasser Larouci,Left-Back,"Jan 1, 2001",22,Algeria,Sheffield United,"1,76m",left,"Jul 28, 2021",Liverpool FC U23,€3.50m,Called up to national team -  - cross-competition,,
358,337798,Abdu Conté,Left-Back,"Mar 24, 1998",25,Portugal,ESTAC Troyes,"1,83m",left,"Jan 12, 2022",Moreirense FC,€2.00m,,,
359,982864,Mathis Hamdi,Left-Back,"Oct 18, 2003",19,France,ESTAC Troyes,"1,80m",,"Jul 1, 2023",ESTAC Troyes B,€150k,,"Internal transfer: ESTAC Troyes B; date: Jul 1, 2023",
360,709482,Thierno Baldé,Right-Back,"Jun 10, 2002",21,France,ESTAC Troyes,"1,82m",right,"Aug 9, 2022",Paris Saint-Germain,€4.00m,Cruciate ligament tear - Return unknown,,
361,345748,Andreas Bruus,Right-Back,"Jan 16, 1999",24,Denmark,ESTAC Troyes,"1,83m",right,"Jul 18, 2022",Bröndby IF,€2.00m,,,
362,569384,Lucien Agoumé,Defensive Midfield,"Feb 9, 2002",21,France,Sevilla FC,"1,85m",right,"Sep 1, 2022",Inter Milan,€7.00m,,,
363,277635,Rominigue Kouamé,Central Midfield,"Dec 17, 1996",26,Mali,Cádiz CF,"1,77m",left,"Jul 1, 2021",LOSC Lille,€4.50m,,,
364,212804,Florian Tardieu,Central Midfield,"Apr 22, 1992",31,France,AS Saint-Étienne,"1,81m",right,"Jul 24, 2019",SV Zulte Waregem,€2.00m,,,
365,118278,Xavier Chavalerin,Central Midfield,"Mar 7, 1991",32,France,ESTAC Troyes,"1,79m",left,"Aug 29, 2021",Stade Reims,€1.50m,Team captain,,
366,371003,Ante Palaversa,Central Midfield,"Apr 6, 2000",23,Croatia,ESTAC Troyes,"1,87m",right,"Aug 31, 2022",Manchester City,€700k,,,
367,126683,Tristan Dingomé,Central Midfield,"Feb 17, 1991",32,Cameroon,Without Club,"1,74m",left,"Oct 5, 2020",Stade Reims,€500k,,,
