,id,from,to,date,upcoming,season,marketValue,fee
1,357158,336,276,"Jan 26, 2024",False,23/24,€2.80m,loan transfer
2,357158,3008,336,"Jan 25, 2024",False,23/24,€2.80m,End of loan
3,357158,336,3008,"Jul 20, 2023",False,23/24,€4.00m,loan transfer
4,357158,29,336,"Jun 30, 2023",False,22/23,€4.00m,End of loan
5,357158,336,29,"Jul 27, 2022",False,22/23,€5.00m,loan transfer
6,357158,543,336,"Jul 1, 2022",False,22/23,€5.00m,€10.00m
7,357158,336,543,"Jun 30, 2022",False,21/22,€5.00m,End of loan
8,357158,543,336,"Jul 9, 2021",False,20/21,€5.00m,loan transfer
9,357158,3329,543,"Jun 30, 2021",False,20/21,€5.00m,End of loan
10,357158,543,3329,"Jan 5, 2021",False,20/21,€9.00m,loan transfer
11,357158,683,543,"Dec 31, 2020",False,20/21,€9.00m,End of loan
12,357158,543,683,"Oct 5, 2020",False,20/21,€9.00m,loan transfer
13,357158,162,543,"Jul 1, 2018",False,18/19,€500k,€2.25m
14,357158,543,162,"Jun 30, 2018",False,17/18,€500k,End of loan
15,357158,162,543,"Jul 20, 2017",False,17/18,€25k,loan transfer
16,357158,9669,162,"Jan 1, 2017",False,16/17,€25k,
17,357158,2990,9669,"Dec 31, 2016",False,16/17,€25k,End of loan
18,357158,9669,2990,"Aug 31, 2016",False,15/16,,loan transfer
19,357158,48365,9669,"Jul 1, 2014",False,14/15,,free transfer
20,357158,53956,48365,"Jul 1, 2013",False,13/14,,
21,357158,55934,53956,"Jul 1, 2012",False,12/13,,?
22,357158,53957,55934,"Jul 1, 2010",False,10/11,,?
0,922698,6920,9250,"Jul 8, 2023",False,23/24,,€4.70m
1,922698,50769,6920,"Jul 1, 2021",False,21/22,,
0,424015,124,29,"Jan 4, 2022",False,21/22,€3.00m,€14.00m
1,424015,12573,124,"Jul 1, 2020",False,20/21,,
2,424015,67281,12573,"Jul 1, 2019",False,19/20,,
3,424015,31029,67281,"Jul 1, 2018",False,18/19,,
0,68390,1181,29,"May 31, 2010",False,09/10,€1.00m,End of loan
1,68390,29,1181,"Mar 19, 2010",False,09/10,€1.00m,loan transfer
2,68390,8780,29,"Jan 1, 2009",False,08/09,€125k,€70k
3,68390,15254,8780,"Jul 1, 2006",False,06/07,,free transfer
0,504507,6920,9261,"Jul 1, 2019",False,19/20,,
1,504507,50769,6920,"Jul 1, 2017",False,17/18,,
0,485706,1082,29,"Aug 9, 2022",False,22/23,€10.00m,€35.00m
1,485706,41,1082,"Aug 5, 2021",False,21/22,€3.00m,€12.60m
2,485706,8925,41,"Jul 1, 2020",False,20/21,,free transfer
3,485706,21082,8925,"Jul 1, 2018",False,18/19,,
4,485706,49082,21082,"Jul 1, 2017",False,17/18,,?
0,505219,985,29,"Sep 1, 2022",False,22/23,€7.00m,€10.40m
1,505219,703,985,"May 31, 2022",False,21/22,€7.00m,End of loan
2,505219,985,703,"Aug 22, 2021",False,21/22,€4.00m,loan transfer
3,505219,703,985,"May 31, 2021",False,20/21,€4.00m,End of loan
4,505219,985,703,"Jan 30, 2021",False,20/21,€3.50m,loan transfer
