,id,from,to,date,upcoming,season,marketValue,fee
7,257814,8925,14543,"Jun 30, 2016",False,15/16,€25k,End of loan
8,257814,14543,8925,"Sep 1, 2014",False,14/15,,loan transfer
9,257814,32339,14543,"Jul 1, 2013",False,13/14,,
10,257814,59552,32339,"Jul 1, 2011",False,11/12,,
0,453737,44,16,"Jul 1, 2022",False,22/23,€1.30m,free transfer
1,453737,45,44,"Jan 1, 2022",False,21/22,€125k,
2,453737,4713,45,"Sep 9, 2020",False,20/21,€125k,free transfer
3,453737,21054,4713,"Jul 1, 2018",False,18/19,,
4,453737,21073,21054,"Jul 1, 2017",False,17/18,,free transfer
5,453737,11877,21073,"Jul 1, 2016",False,16/17,,
6,453737,11884,11877,"Jul 1, 2015",False,15/16,,free transfer
7,453737,11888,11884,"Jul 1, 2014",False,14/15,,free transfer
0,76158,109,16,"Jul 1, 2022",False,22/23,€700k,free transfer
1,76158,79,109,"Jul 1, 2019",False,19/20,€300k,free transfer
2,76158,25,79,"Aug 30, 2017",False,17/18,€175k,€400k
3,76158,476,25,"Jul 1, 2016",False,16/17,€150k,free transfer
4,76158,389,476,"Jul 1, 2012",False,12/13,€75k,free transfer
5,76158,2509,389,"Jul 1, 2009",False,09/10,,
6,76158,21063,2509,"Jul 1, 2008",False,08/09,,
7,76158,12786,21063,"Jul 1, 2006",False,06/07,,
8,76158,40004,12786,"Jul 1, 2005",False,05/06,,free transfer
0,388198,60,16,"Jul 1, 2022",False,22/23,€33.00m,€20.00m
1,388198,89,60,"Jun 30, 2021",False,20/21,€7.50m,End of loan
2,388198,60,89,"Jul 31, 2020",False,20/21,€4.00m,loan transfer
3,388198,245,60,"Jul 1, 2019",False,19/20,€300k,
4,388198,4042,245,"Jul 1, 2018",False,18/19,,
5,388198,5370,4042,"Jul 1, 2017",False,17/18,,€90k
6,388198,21068,5370,"Jul 1, 2016",False,16/17,,
7,388198,36734,21068,"Jul 1, 2015",False,15/16,,free transfer
8,388198,29815,36734,"Jul 1, 2014",False,14/15,,free transfer
9,388198,74464,29815,"Jul 1, 2007",False,07/08,,free transfer
0,166601,27,16,"Jul 1, 2022",False,22/23,€35.00m,free transfer
1,166601,533,27,"Jul 1, 2017",False,17/18,€25.00m,€20.00m
2,166601,983,533,"Jul 1, 2013",False,13/14,€300k,
3,166601,8925,983,"Jul 1, 2012",False,12/13,,
4,166601,21082,8925,"Jul 1, 2011",False,11/12,,
5,166601,17474,21082,"Jul 1, 2010",False,10/11,,
6,166601,33469,17474,"Jan 1, 2010",False,09/10,,free transfer
7,166601,12016,33469,"Jul 1, 2009",False,09/10,,free transfer
8,166601,47105,12016,"Jul 1, 2006",False,06/07,,free transfer
0,39728,27,16,"Jul 1, 2019",False,19/20,€35.00m,€30.50m
1,39728,16,27,"Jul 1, 2016",False,16/17,€38.00m,€35.00m
2,39728,27,16,"Jul 1, 2009",False,09/10,€4.00m,€4.20m
3,39728,16,27,"Jun 30, 2009",False,08/09,€4.00m,End of loan
4,39728,27,16,"Jan 3, 2008",False,07/08,€250k,loan transfer
5,39728,28,27,"Jan 1, 2007",False,06/07,€150k,
6,39728,1462,28,"Jul 1, 2006",False,06/07,€50k,
7,39728,21058,1462,"Jan 1, 2005",False,04/05,,
8,39728,18936,21058,"Jul 1, 2003",False,03/04,,
0,482573,440,17,"Jul 1, 2021",False,21/22,€250k,free transfer
1,482573,83,440,"Jul 1, 2019",False,19/20,€150k,free transfer
2,482573,10169,83,"Jul 1, 2018",False,18/19,€50k,
3,482573,36734,10169,"Jul 1, 2016",False,16/17,,
4,482573,74649,36734,"Jul 1, 2015",False,15/16,,free transfer
5,482573,55188,74649,"Jul 1, 2014",False,14/15,,
6,482573,29815,55188,"Jul 1, 2013",False,13/14,,free transfer
