,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
11,621122,Matteo Angeli,Centre-Back,"Dec 30, 2002",20,Italy,AS Cittadella,"1,85m",right,"Jul 15, 2022",Imolese Calcio 1919,€450k,,"Returned after loan spell with AC Renate; date: Jun 30, 2023; fee: End of loan",
12,818882,Riccardo Stivanello,Centre-Back,"Apr 24, 2004",19,Italy,Juventus Next Gen,"1,88m",right,"Jul 1, 2022",,€250k,,,
13,659420,Mattia Motolese,Centre-Back,"Apr 13, 2004",19,Italy,Olbia Calcio 1905,,left,"Jul 1, 2023",,€125k,,,
14,459658,Andrea Cambiaso,Left-Back,"Feb 20, 2000",23,Italy,Juventus FC,"1,82m",both,"Jan 30, 2022",Juventus FC,€8.00m,,,
15,136514,Charalampos Lykogiannis,Left-Back,"Oct 22, 1993",29,Greece,Bologna FC 1909,"1,91m",left,"Sep 17, 2020",Cagliari Calcio,€1.00m,,,
16,223974,Stefan Posch,Right-Back,"May 14, 1997",26,Austria,Bologna FC 1909,"1,90m",right,"Jul 1, 2015",TSG 1899 Hoffenheim,€14.00m,,"Joined from TSG 1899 Hoffenheim; date: Jul 1, 2023; fee: €5.00m",
17,577394,Denso Kasius,Right-Back,"Oct 6, 2002",20,Netherlands,AZ Alkmaar,"1,83m",right,"Jul 5, 2019",FC Utrecht U21,€1.70m,,"Returned after loan spell with Rapid Vienna; date: Jun 30, 2023; fee: End of loan",
18,33571,Lorenzo De Silvestri,Right-Back,"May 23, 1988",35,Italy,Bologna FC 1909,"1,87m",right,"Jul 2, 2023",Torino FC,€400k,,,
19,207715,Ibrahima Mbaye,Right-Back,"Nov 19, 1994",28,Senegal,Without Club,"1,88m",right,"Aug 30, 2019",: Ablöse €3.50m,€300k,,,
20,347900,Jerdy Schouten,Defensive Midfield,"Jan 12, 1997",26,Netherlands,PSV Eindhoven,"1,85m",right,"Jul 1, 2022",: Ablöse €2.15m,€12.00m,,,
21,316934,Nikola Moro,Defensive Midfield,"Mar 12, 1998",25,Croatia,Bologna FC 1909,"1,84m",right,"Jan 1, 2023",Dynamo Moscow,€6.50m,,"Joined from Dynamo Moscow; date: Jul 2, 2023; fee: €2.50m",
22,497291,Nicolás Domínguez,Central Midfield,"Jun 28, 1998",25,Argentina,Nottingham Forest,"1,79m",right,"Jul 1, 2022",CA Vélez Sarsfield,€17.00m,,,
23,237658,Michel Aebischer,Central Midfield,"Jan 6, 1997",26,Switzerland,Bologna FC 1909,"1,83m",right,"Jul 1, 2018",BSC Young Boys,€4.00m,,,
24,679754,Niklas Pyyhtiä,Central Midfield,"Sep 25, 2003",19,Finland,Ternana Calcio,"1,88m",left,"Jan 31, 2023",Bologna Primavera,€600k,,,
25,699442,Kacper Urbanski,Central Midfield,"Sep 7, 2004",18,Poland,Bologna FC 1909,"1,83m",right,"Jul 12, 2022",Bologna Primavera,€600k,,,
26,401920,Kingsley Michael,Central Midfield,"Aug 26, 1999",23,Nigeria,DSV Leoben,"1,76m",right,"Jul 1, 2019",: Ablöse -,€250k,,,
27,311178,Georgios Kyriakopoulos,Left Midfield,"Feb 5, 1996",27,Greece,AC Monza,"1,86m",left,"Jul 1, 2021",US Sassuolo,€3.80m,,,
28,428563,Lewis Ferguson,Attacking Midfield,"Aug 24, 1999",23,Scotland,Bologna FC 1909,"1,81m",right,"Jul 1, 2019",Aberdeen FC,€12.00m,,,
29,63186,Roberto Soriano,Attacking Midfield,"Feb 8, 1991",32,Italy,Without Club,"1,82m",right,"Jul 1, 2019",Villarreal CF,€2.50m,,,
30,486624,Musa Barrow,Left Winger,"Nov 14, 1998",24,The Gambia,Al-Taawoun FC,"1,84m",right,"Jan 20, 2020",Atalanta BC,€11.00m,,,
31,82048,Nicola Sansone,Left Winger,"Sep 10, 1991",31,Italy,US Lecce,"1,74m",right,"Dec 1, 2016",Villarreal CF,€1.50m,,,
32,368482,Riccardo Orsolini,Right Winger,"Jan 24, 1997",26,Italy,Bologna FC 1909,"1,83m",left,"Aug 30, 2022",: Ablöse €15.00m,€12.00m,,,
33,394346,Emanuel Vignato,Right Winger,"Aug 24, 2000",22,Italy,US Salernitana 1919,"1,75m",right,"Aug 1, 2021",Chievo Verona,€2.00m,,"Returned after loan spell with FC Empoli; date: Jun 30, 2023; fee: End of loan",
34,401935,Orji Okwonkwo,Right Winger,"Jan 19, 1998",25,Nigeria,AC Reggiana 1919,"1,80m",right,"Jul 1, 2022",: Ablöse -,,,,
35,388516,Josep Martínez,Goalkeeper,"May 27, 1998",25,Spain,Genoa CFC,"1,91m",right,"Jul 1, 2023",RB Leipzig,€3.50m,,"Joined from RB Leipzig; date: Jul 1, 2023; fee: €3.50m",
36,317057,Adrian Semper,Goalkeeper,"Jan 12, 1998",25,Croatia,Como 1907,"1,94m",right,"Aug 11, 2021",Chievo Verona,€1.20m,,,
37,579746,Giuseppe Agostino,Goalkeeper,"Dec 21, 2002",20,Italy,US Triestina,"1,86m",right,"Jul 1, 2021",: Ablöse -,€100k,,,
38,320871,Rok Vodisek,Goalkeeper,"Dec 5, 1998",24,Slovenia,Without Club,"1,89m",right,"Sep 1, 2020",: Ablöse -,€50k,,,
39,568559,Radu Drăgușin,Centre-Back,"Feb 3, 2002",21,Romania,Tottenham Hotspur,"1,91m",right,"Jul 1, 2023",Juventus FC,€8.00m,,"Joined from Juventus FC; date: Jul 1, 2023; fee: €9.70m",
40,861981,Alan Matturro,Centre-Back,"Oct 11, 2004",18,Uruguay,Genoa CFC,"1,89m",left,"Jan 2, 2023",Defensor Sporting Club,€2.50m,"surgery - Return expected on May 30, 2024",,
41,330208,Alessandro Vogliacco,Centre-Back,"Sep 14, 1998",24,Italy,Genoa CFC,"1,86m",right,"Aug 13, 2021",Pordenone Calcio,€2.00m,,,
42,176139,Mattia Bani,Centre-Back,"Dec 10, 1993",29,Italy,Genoa CFC,"1,88m",right,"Oct 5, 2020",Bologna FC 1909,€1.70m,,,
43,745778,Gabriele Calvani,Centre-Back,"Jan 12, 2004",19,Italy,US Città di Pontedera,,right,"Aug 23, 2021",,€50k,,,
