,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,id,assists,goals,redCards,secondYellowCards
16,PL1,4000,2016,Ekstraklasa,18,3,22,4,1.607',257474,,,1,
17,POPU,4000,2016,Fortuna Polish Cup,,,,,,257474,,,,
18,PL1,4000,2015,Ekstraklasa,11,2,10,4,990',257474,,,,
19,SER1,448,2014,Jelen SuperLiga,17,3,20,6,1.530',257474,,,,
20,SERP,448,2014,Kup Srbije,2,,2,1,180',257474,,,,
0,IT1,749,2023,Serie A,14,,25,4,1.260',77825,,,,
1,IT1,416,2022,Serie A,,,,,,77825,,,,
2,CIT,416,2022,Italy Cup,,,,,,77825,,,,
3,IT1,416,2021,Serie A,10,1,8,4,900',77825,,,,
4,CIT,416,2021,Italy Cup,1,,2,,90',77825,,,,
5,IT2,2722,2020,Serie B,25,1,31,8,2.250',77825,,,,
6,CIT,2722,2020,Italy Cup,2,,4,1,180',77825,,,,
7,IT1,2722,2019,Serie A,26,2,44,3,2.340',77825,,,,
8,CIT,2722,2019,Italy Cup,3,,5,,270',77825,,,,
9,IT1,800,2018,Serie A,18,1,25,5,1.620',77825,,,,
10,CIT,800,2018,Italy Cup,2,,3,1,180',77825,,,,
11,ELQ,800,2018,Europa League Qualifying,2,,2,1,180',77825,,,,
12,IT1,800,2017,Serie A,31,,34,8,2.790',77825,,,,
13,CIT,800,2017,Italy Cup,3,,3,,270',77825,,,,
14,EL,800,2017,Europa League,8,1,8,2,720',77825,,,,
15,IT1,800,2016,Serie A,26,2,26,11,2.340',77825,,,,
16,CIT,800,2016,Italy Cup,1,,3,,90',77825,,,,
17,IT1,398,2015,Serie A,11,1,13,3,871',77825,,,,
18,EL,398,2015,Europa League,5,,5,1,450',77825,,,,
19,CIT,398,2015,Italy Cup,2,,2,,180',77825,,,,
20,CLQ,398,2015,Champions League Qu.,2,,3,1,180',77825,,,,
21,SCI,398,2015,Supercoppa Italiana,,,,,,77825,,,,
22,IT1,398,2014,Serie A,10,,9,4,809',77825,,,,
23,CIT,398,2014,Italy Cup,7,,4,4,660',77825,,,,
24,IT1,398,2013,Serie A,17,,25,7,1.530',77825,,,,
25,EL,398,2013,Europa League,4,,2,2,360',77825,,,,
26,CIT,398,2013,Italy Cup,2,,2,,180',77825,,,,
27,SE1,3654,2013,Allsvenskan,22,,19,9,1.980',77825,,2,,
28,SEC,3654,2012,Svenska Cupen,,,,,,77825,,,,
29,ELQ,3654,2012,Europa League Qualifying,6,,5,3,540',77825,,1,,
30,SEC,3654,2011,Svenska Cupen,4,1,2,3,360',77825,,,,
31,SE1,3654,2012,Allsvenskan,30,1,45,6,2.700',77825,,1,,
32,SEC,3654,2010,Svenska Cupen,3,,4,1,330',77825,,,,
33,SE1,3654,2011,Allsvenskan,24,1,22,10,2.155',77825,,,1,
34,SE1,3654,2010,Allsvenskan,14,1,8,7,1.260',77825,,,,
35,SEC,3654,2009,Svenska Cupen,1,,2,,120',77825,,,,
0,IT1,416,2023,Serie A,1,,2,,90',463792,,,,
1,CIT,416,2023,Italy Cup,1,,2,,120',463792,,,,
2,IT1,416,2022,Serie A,,,,,,463792,,,,
3,CIT,416,2022,Italy Cup,,,,,,463792,,,,
4,IT1,416,2021,Serie A,1,,,1,90',463792,,,,
5,CIT,416,2021,Italy Cup,,,,,,463792,,,,
6,IT3P,24898,2020,Playoff Serie C,4,,6,,360',463792,,,,
7,IT3A,24898,2020,Serie C-A,37,1,34,16,3.330',463792,,,,
8,CIT,24898,2020,Italy Cup,1,,1,,90',463792,,,,
9,IT3B,4033,2019,Serie C-B,11,3,14,2,990',463792,,,,
10,CILP,4033,2019,Coppa Serie C,1,,4,,90',463792,,,,
11,IT1,416,2019,Serie A,,,,,,463792,,,,
12,ITJE,12130,2018,Primavera Fase Finale,2,,6,,210',463792,,,,
13,IJ1,12130,2018,Primavera 1,29,,44,8,2.610',463792,,,,
14,CITP,12130,2018,Coppa Primavera,6,,11,1,540',463792,,,,
15,TDV,12130,2018,Viareggio Cup,2,1,6,,180',463792,,,,
16,SCIJ,12130,2018,Supercoppa Primavera,1,,2,,120',463792,,,,
17,IT1,416,2018,Serie A,,,,,,463792,,,,
18,ITJE,12130,2017,Primavera Fase Finale,,,,,,463792,,,,
19,IJ1,12130,2017,Primavera 1,,,,,,463792,,,,
20,CITP,12130,2017,Coppa Primavera,,,,,,463792,,,,
21,TDV,12130,2017,Viareggio Cup,1,,,1,90',463792,,,,
22,ITJF,49746,2016,Under 17 - Finals,3,1,3,1,300',463792,,,,
23,ITJ4,49746,2016,Under 17 - A,24,3,29,5,2.100',463792,,,,
24,ITJ2,12130,2016,Primavera B,,,,,,463792,,,,
0,IT4E,38489,2023,Serie D - E,25,2,31,5,2.250',658586,,,,
1,IT1,416,2022,Serie A,,,,,,658586,,,,
2,CIT,416,2022,Italy Cup,,,,,,658586,,,,
3,IJ1,12130,2021,Primavera 1,,,,,,658586,,,,
4,ITJ7,75900,2021,Under 18,9,,17,3,810',658586,,,,
5,CITP,12130,2021,Coppa Primavera,,,,,,658586,,,,
6,IJ1,12130,2020,Primavera 1,,,,,,658586,,,,
7,ITJ7,75900,2020,Under 18,9,,10,2,810',658586,,,,
8,ITJ4,49746,2018,Under 17 - A,,,,,,658586,,,,
0,IT1,416,2023,Serie A,9,2,,,771',418543,,1,,
1,CIT,416,2023,Italy Cup,1,,,,90',418543,,,,
2,IT1,416,2022,Serie A,30,5,,,2.329',418543,2,,,
3,CIT,416,2022,Italy Cup,3,,,,300',418543,,1,,
4,NL1,610,2022,Eredivisie,2,,,,51',418543,,,,
5,NLSC,610,2022,Johan Cruijff Schaal,1,,,,5',418543,,,,
6,NL1,610,2021,Eredivisie,22,,,,1.037',418543,1,,,
7,NLP,610,2021,KNVB Beker,5,,,,313',418543,,,,
8,CL,610,2021,Champions League,3,1,,,146',418543,1,,,
9,NL1,610,2020,Eredivisie,27,2,,,1.884',418543,,1,,
10,NLP,610,2020,KNVB Beker,4,1,,,285',418543,,,,
11,EL,610,2020,Europa League,4,,,,102',418543,1,,,
12,CL,610,2020,Champions League,6,2,,,504',418543,,,,
13,NL1,610,2019,Eredivisie,10,,,,732',418543,,1,,
14,NLP,610,2019,KNVB Beker,1,,,,90',418543,,,,
15,EL,610,2019,Europa League,2,,,,113',418543,,,,
16,NL2,8817,2019,Keuken Kampioen Divisie,2,,,,180',418543,1,1,,
17,CL,610,2019,Champions League,2,,,,108',418543,,,,
18,CLQ,610,2019,Champions League Qu.,1,,,,90',418543,,,,
19,NLSC,610,2019,Johan Cruijff Schaal,1,,,,90',418543,,,,
20,NL2,8817,2018,Keuken Kampioen Divisie,29,2,,,2.480',418543,1,4,,
21,NL1,610,2018,Eredivisie,1,,,,9',418543,,,,
22,NLP,610,2018,KNVB Beker,3,1,,,300',418543,1,1,,
23,CL,610,2018,Champions League,,,,,,418543,,,,
24,NL2,385,2017,Jupiler League,33,5,,,2.970',418543,4,8,1,
25,NLP,385,2017,KNVB Beker,3,,,,270',418543,2,,,
26,NL2,385,2016,Jupiler League,24,1,,,1.908',418543,2,2,,
27,NLBB,18338,2016,Beloften Eerste Divisie,4,,,,360',418543,,1,,
28,NLEV,10710,2016,Preliminary round U19 Eerste Divisie,1,,,,90',418543,,1,,
29,NLP,385,2016,KNVB Beker,,,,,,418543,,,,
30,NL2,385,2015,Jupiler League,,,,,,418543,,,,
31,NLBA,18338,2015,Beloften nacompetitie,2,,,,51',418543,,,,
32,NLBE,18338,2015,Beloften Eredivisie,2,,,,180',418543,,,,
0,IT1,416,2023,Serie A,22,7,,,1.910',386446,1,3,,
1,CIT,416,2023,Italy Cup,2,,,,210',386446,,,,
2,IT1,416,2022,Serie A,34,8,,,2.725',386446,2,1,,
3,CIT,416,2022,Italy Cup,4,,,,390',386446,,,,
4,IT1,416,2021,Serie A,23,5,,,1.176',386446,2,,,
5,CIT,416,2021,Italy Cup,2,1,,,190',386446,,,,
6,IT1,416,2020,Serie A,12,4,,,856',386446,,,,
7,CIT,416,2020,Italy Cup,2,,,,210',386446,,,,
8,IT2,4331,2019,Serie B,13,2,,,1.079',386446,,,,
9,IT1,416,2019,Serie A,,,,,,386446,,,,
10,IJ1,12130,2019,Primavera 1,8,1,,,720',386446,,,,
11,IT2,4102,2018,Serie B,18,2,,,1.203',386446,1,,,1
12,IT1,416,2017,Serie A,1,,,,8',386446,,,,
13,IJ1,12130,2017,Primavera 1,23,1,,,2.070',386446,1,1,,
14,CITP,12130,2017,Coppa Primavera,5,,,,480',386446,,,,
15,ITJE,12130,2016,Primavera Fase Finale,1,,,,120',386446,,,,
16,ITJ2,12130,2016,Primavera B,14,1,,,1.207',386446,1,3,,
17,TDV,12130,2016,Viareggio Cup,2,,,,180',386446,,,,
18,IT1,416,2016,Serie A,,,,,,386446,,,,
19,CITP,12130,2016,Coppa Primavera,,,,,,386446,,,,
20,ITJF,49746,2015,Under 17 - Finals,2,,,,210',386446,,,,
21,ITJ4,49746,2015,Under 17 - A,26,2,,,2.246',386446,,1,,
22,ITJF,49746,2014,Under 17 - Finals,3,1,,,270',386446,,,,
0,TS1,62,2023,Fortuna Liga,6,1,,,540',544149,,,,
1,EL,62,2023,Europa League,2,,,,180',544149,,,,
2,TSP,62,2023,MOL Cup,1,,,,120',544149,,,,
3,IT1,416,2023,Serie A,5,,,,86',544149,,,,
4,CIT,416,2023,Italy Cup,1,,,,120',544149,,1,,
5,IT1,416,2022,Serie A,9,,,,402',544149,,,,
6,CIT,416,2022,Italy Cup,2,,,,140',544149,,1,,
7,IT1,416,2021,Serie A,20,3,,,1.309',544149,,,,
8,CIT,416,2021,Italy Cup,,,,,,544149,,,,
9,TS1,62,2021,Fortuna Liga,4,1,,,225',544149,,,,
10,ELQ,62,2021,Europa League Qualifying,2,,,,180',544149,,,,
11,CLQ,62,2021,Champions League Qu.,1,,,,90',544149,,,,
12,TS1,62,2020,Fortuna Liga,21,2,,,1.647',544149,1,,,
13,TSP,62,2020,MOL Cup,3,,,,101',544149,,,,
14,EL,62,2020,Europa League,10,4,,,900',544149,,,,
15,CLQ,62,2020,Champions League Qu.,1,,,,90',544149,,,,
16,T1MR,62,2019,Fortuna Liga Champ. Gr.,4,,,,360',544149,,1,,
17,TS1,62,2019,Fortuna Liga,8,1,,,675',544149,,,,
18,TS1,2311,2019,Fortuna Liga,2,1,,,155',544149,,,,
19,CZ3M,6038,2019,MSFL,11,2,,,990',544149,,,,
20,TSP,2311,2019,MOL Cup,1,,,,90',544149,,,,
21,19YL,69412,2018,UEFA Youth League,4,,,,360',544149,,2,,
22,CZ19,13925,2018,1. Dorostenecka liga,12,2,,,1.200',544149,,,,
23,TSP,2311,2018,MOL Cup,,,,,,544149,,,,
24,CZJ3,6038,2017,JL - Relegation,1,,,,65',544149,,,,
0,TR1,3840,2023,Süper Lig,27,3,,,2.218',395083,1,2,,
1,TRP,3840,2023,Türkiye Kupasi,1,1,,,55',395083,,,,
2,ECLQ,3840,2023,UECL Qualifiers,5,3,,,396',395083,,,1,
3,IT1,416,2022,Serie A,7,2,,,313',395083,,,,
4,CIT,416,2022,Italy Cup,,,,,,395083,,,,
5,FR1,1421,2022,Ligue 1,13,3,,,1.040',395083,,,,
6,FRC,1421,2022,Coupe de France,2,,,,180',395083,,,,
7,FR1,1421,2021,Ligue 1,26,5,,,2.140',395083,,,,2
8,FRC,1421,2021,Coupe de France,1,,,,90',395083,,,,
9,FR1,1158,2020,Ligue 1,26,3,,,2.274',395083,2,1,1,
10,IT2,408,2019,Serie B,29,12,,,2.442',395083,,,1,
11,CIT,408,2019,Italy Cup,,,,,,395083,,,,
12,IT1,6574,2019,Serie A,,,,,,395083,,,,
13,CIT,6574,2019,Italy Cup,1,1,,,90',395083,,,,
14,POSB,2921,2018,Serie B Play-off,,,,,,395083,,,,
15,IT2,2921,2018,Serie B,29,6,,,2.540',395083,,2,,
16,CIT,2921,2018,Italy Cup,2,1,,,210',395083,,,,
17,IT2,2921,2017,Serie B,9,3,,,744',395083,,,,
18,IT1,4171,2017,Serie A,2,,,,83',395083,,,,
19,CIT,4171,2017,Italy Cup,,,,,,395083,,,,
20,ITJE,5380,2016,Primavera Fase Finale,3,1,,,270',395083,,,,
21,IT1,46,2016,Serie A,,,,,,395083,,,,
22,ITJ3,5380,2016,Primavera C,23,1,,,2.070',395083,1,5,,
23,TDV,5380,2016,Viareggio Cup,4,,,,264',395083,,1,1,
24,CITP,5380,2016,Coppa Primavera,4,,,,360',395083,,,,
25,SCIJ,5380,2016,Supercoppa Primavera,1,,,,90',395083,,,,
26,ITJE,5380,2015,Primavera Fase Finale,2,,,,240',395083,,,,
27,ITJ2,5380,2015,Primavera B,17,5,,,1.429',395083,,1,,
28,CITP,5380,2015,Coppa Primavera,4,1,,,360',395083,,,,
29,TDV,5380,2015,Viareggio Cup,5,,,,394',395083,,,,
30,ITJF,48967,2014,Under 17 - Finals,4,,,,390',395083,,1,,
0,IT1,416,2023,Serie A,28,3,,,2.242',86784,1,,,
1,CIT,416,2023,Italy Cup,2,,,,209',86784,,,,
2,IT1,416,2022,Serie A,35,3,,,2.674',86784,,,,
3,CIT,416,2022,Italy Cup,3,,,,261',86784,,,,
4,IT1,416,2021,Serie A,34,3,,,2.471',86784,1,,,
5,CIT,416,2021,Italy Cup,2,1,,,125',86784,,,,
6,IT1,416,2020,Serie A,16,1,,,1.246',86784,,,,
7,CIT,416,2020,Italy Cup,2,,,,120',86784,,,,
8,NL1,383,2019,Eredivisie,6,,,,448',86784,,,,
9,IT1,5,2019,Serie A,5,,,,387',86784,,,,
10,IT1,5,2018,Serie A,35,5,,,3.050',86784,2,,,
11,CIT,5,2018,Italy Cup,2,1,,,125',86784,,,,
12,SCI,5,2018,Supercoppa Italiana,1,1,,,90',86784,,,,
13,EL,5,2018,Europa League,3,1,,,265',86784,1,,,
14,IT1,5,2017,Serie A,34,3,,,3.005',86784,,1,,1
15,CIT,5,2017,Italy Cup,4,,,,420',86784,,,,
16,EL,5,2017,Europa League,7,,,,544',86784,2,2,,
17,ELQ,5,2017,Europa League Qualifying,2,1,,,180',86784,,1,,
18,L1,82,2016,Bundesliga,24,1,,,2.019',86784,3,2,,
19,DFB,82,2016,DFB-Pokal,3,1,,,270',86784,,,,
20,L1,82,2015,Bundesliga,24,3,,,2.067',86784,3,2,,
21,CL,82,2015,Champions League,9,,,,736',86784,1,1,,
22,DFB,82,2015,DFB-Pokal,2,,,,167',86784,,,,
23,DFL,82,2015,DFL-Supercup,1,,,,120',86784,,,,
24,DFB,82,2014,DFB-Pokal,4,,,,373',86784,,1,,
25,L1,82,2014,Bundesliga,26,2,,,2.294',86784,5,6,,
26,EL,82,2014,Europa League,9,1,,,786',86784,,3,,
27,L1,82,2013,Bundesliga,34,2,,,3.060',86784,9,5,,
28,DFB,82,2013,DFB-Pokal,4,,,,295',86784,1,2,,1
29,L1,82,2012,Bundesliga,24,1,,,1.708',86784,6,,,
30,DFB,82,2012,DFB-Pokal,3,,,,194',86784,,,,
31,L1,82,2011,Bundesliga,17,1,,,1.530',86784,,,,
32,EL,260,2011,Europa League,5,,,,374',86784,1,,,
33,C1,260,2011,Super League,16,1,,,1.440',86784,2,1,,
34,SCC,260,2011,Swiss Cup,2,,,,180',86784,1,,,
35,CLQ,260,2011,Champions League Qu.,4,,,,360',86784,1,,,
36,C1,260,2010,Super League,13,1,,,1.016',86784,3,1,,
37,SCC,260,2010,Swiss Cup,2,1,,,210',86784,1,,,
38,CR2,5501,2010,1. Liga Gr. 2 (- 11/12),3,,,,241',86784,,1,,
39,C1,260,2009,Super League,6,,,,425',86784,1,,,
40,CR2,5501,2009,1. Liga Gr. 2 (- 11/12),13,1,,,1.112',86784,,3,,
41,CH18,14537,2009,U18 Elite League,1,,,,90',86784,,1,,
42,CLQ,260,2009,Champions League Qu.,,,,,,86784,,,,
43,CR3,5501,2008,1. Liga Gr. 3 (- 11/12),1,1,,,56',86784,,,,
0,IT1,416,2023,Serie A,13,2,,,759',183031,,,,
1,IT1,416,2022,Serie A,34,3,,,2.423',183031,,1,,
2,CIT,416,2022,Italy Cup,2,,,,153',183031,,,,1
3,IT1,416,2021,Serie A,25,3,,,1.737',183031,,,,1
4,CIT,416,2021,Italy Cup,1,,,,120',183031,,,,
5,IT1,4083,2020,Serie A,20,4,,,1.522',183031,,1,,
6,IT1,416,2019,Serie A,17,,,,847',183031,,,,
7,CIT,416,2019,Italy Cup,2,,,,158',183031,,,,
8,ELQ,416,2019,Europa League Qualifying,,,,,,183031,,,,
9,IT1,416,2018,Serie A,17,2,,,1.389',183031,,,,
10,CIT,416,2018,Italy Cup,1,,,,90',183031,,,,
11,FR1,995,2018,Ligue 1,1,,,,90',183031,,,,
12,FR1,995,2017,Ligue 1,29,2,,,2.417',183031,,,,
13,FRC,995,2017,Coupe de France,2,,,,180',183031,,,,
14,FR1,995,2016,Ligue 1,28,7,,,2.495',183031,,,,
15,FRL,995,2016,Coupe de la Ligue,2,,,,180',183031,,,,
16,CN2A,10850,2016,CFA - Grp. A,1,,,,90',183031,,,,
17,FR1,995,2015,Ligue 1,22,4,,,1.795',183031,,,,
18,FRC,995,2015,Coupe de France,3,1,,,330',183031,,,,
19,FRL,995,2015,Coupe de la Ligue,1,,,,56',183031,,,1,
20,FR1,995,2014,Ligue 1,5,1,,,360',183031,,,,
21,FRC,995,2014,Coupe de France,2,,,,100',183031,,,,
22,FRL,995,2014,Coupe de la Ligue,,,,,,183031,,,,
23,FR1,995,2013,Ligue 1,10,2,,,767',183031,,1,,
24,FRL,995,2013,Coupe de la Ligue,2,,,,180',183031,,,,
25,FR2,995,2012,Ligue 2,4,1,,,232',183031,,,,
26,FRL,995,2012,Coupe de la Ligue,1,,,,79',183031,,,,
0,IT1,416,2023,Serie A,,,,,,804799,,,,
1,CIT,416,2023,Italy Cup,,,,,,804799,,,,
2,ITJE,12130,2022,Primavera Fase Finale,1,1,,,90',804799,,,,
3,IJ1,12130,2022,Primavera 1,23,7,,,2.012',804799,,1,,
4,IT1,416,2022,Serie A,,,,,,804799,,,,
5,CIT,416,2022,Italy Cup,,,,,,804799,,,,
6,CITP,12130,2022,Coppa Primavera,1,,,,90',804799,,,,
7,IJ1,12130,2021,Primavera 1,18,6,,,1.530',804799,,,1,
8,CN2B,8152,2020,National 2 - Grp. B,4,,,,198',804799,,,1,
9,F19A,10824,2020,National U19 - Grp. A,5,,,,450',804799,,,,
0,ITJE,12130,2022,Primavera Fase Finale,,,,,,945702,,,,
1,IJ1,12130,2022,Primavera 1,3,,,,113',945702,,,,
2,CITP,12130,2022,Coppa Primavera,,,,,,945702,,,,
3,IT1,416,2022,Serie A,,,,,,945702,,,,
4,IJ1,12130,2021,Primavera 1,4,,,,202',945702,,,,
5,ITJ7,75900,2021,Under 18,3,,,,213',945702,,,,
6,19YL,50915,2021,UEFA Youth League,1,,,,90',945702,,,,
0,FR1,162,2023,Ligue 1,20,6,,,1.800',648779,1,1,,
1,CIT,416,2023,Italy Cup,1,,,,1',648779,,,,
2,IT1,416,2022,Serie A,31,8,,,2.054',648779,2,2,,
3,CIT,416,2022,Italy Cup,4,,,,328',648779,1,,,
4,IT1,416,2021,Serie A,35,5,,,2.621',648779,4,3,1,
5,CIT,416,2021,Italy Cup,1,,,,83',648779,,,,
6,IT1,416,2020,Serie A,28,2,,,1.851',648779,3,1,,1
7,CIT,416,2020,Italy Cup,2,,,,177',648779,,,,
8,IT1,416,2019,Serie A,4,,,,130',648779,,1,,
9,IJ1,12130,2019,Primavera 1,17,3,,,1.530',648779,3,1,,
10,CIT,416,2019,Italy Cup,,,,,,648779,,,,
11,ELQ,416,2019,Europa League Qualifying,3,,,,19',648779,,,,
12,ITJE,12130,2018,Primavera Fase Finale,2,,,,210',648779,,1,,
13,IT1,416,2018,Serie A,,,,,,648779,,,,
14,IJ1,12130,2018,Primavera 1,6,,,,510',648779,,1,,
15,CITP,12130,2018,Coppa Primavera,2,,,,180',648779,,,,
16,TDV,12130,2018,Viareggio Cup,4,,,,283',648779,,,,
0,GB1,703,2023,Premier League,16,3,,,1.162',236490,1,1,,
1,CGB,703,2023,EFL Cup,,,,,,236490,,,,
2,IT1,416,2022,Serie A,19,5,,,870',236490,1,1,,
3,CIT,416,2022,Italy Cup,2,,,,118',236490,,,,
4,IT1,416,2021,Serie A,21,4,,,1.443',236490,,,,
5,CIT,416,2021,Italy Cup,2,,,,201',236490,,,,
6,GB1,931,2020,Premier League,31,3,,,2.670',236490,1,2,,
7,FAC,931,2020,FA Cup,1,,,,120',236490,,,,
8,CGB,931,2020,EFL Cup,1,,,,69',236490,,,,
9,IT1,416,2019,Serie A,32,8,,,2.074',236490,2,,,
10,CIT,416,2019,Italy Cup,2,1,,,158',236490,1,,,
11,ELQ,416,2019,Europa League Qualifying,3,,,,115',236490,,,,
12,IT1,416,2018,Serie A,30,5,,,2.158',236490,3,1,1,
13,CIT,416,2018,Italy Cup,2,1,,,107',236490,,,,
14,GB2,3008,2017,Championship,44,3,,,3.823',236490,3,,,
15,FAC,3008,2017,FA Cup,2,1,,,180',236490,,1,,
16,GB1,631,2016,Premier League,3,,,,23',236490,,,,
17,GB21,9250,2016,Premier League 2,3,,,,270',236490,,,,
18,FAC,631,2016,FA Cup,1,,,,33',236490,,,,
19,GBFL,9250,2016,EFL Trophy,1,,,,90',236490,,,,
20,CGB,631,2016,EFL Cup,2,,,,144',236490,,,,
21,GB21,9250,2015,U21 PL,18,2,,,1.549',236490,1,1,,
22,19YL,41573,2015,UEFA Youth League,7,4,,,660',236490,1,,,
23,GB1,631,2015,Premier League,,,,,,236490,,,,
24,CGB,631,2015,League Cup,,,,,,236490,,,,
25,GB21,9250,2014,U21 PL,21,3,,,1.616',236490,1,,,
26,FAYC,6918,2014,FA Youth Cup,6,,,,570',236490,,,,
27,19YL,41573,2014,UEFA Youth League,10,2,,,899',236490,,1,,
28,GBKN,9250,2013,U21 PL Knockout,2,,,,210',236490,,,,
29,FAYC,6918,2013,FA Youth Cup,4,1,,,314',236490,,,,
30,GB21,9250,2013,U21 PL,7,2,,,216',236490,,,,
31,19YL,41573,2013,UEFA Youth League,3,1,,,254',236490,,,,
32,FAYC,6918,2012,FA Youth Cup,4,1,,,324',236490,,,,
0,IT2,408,2023,Serie B,19,1,,,1.106',715470,,,,
1,IT1,416,2023,Serie A,,,,,,715470,,,,
2,CIT,416,2023,Italy Cup,1,,,,12',715470,,,,
3,IT1,416,2022,Serie A,2,,,,63',715470,,,,
4,CIT,416,2022,Italy Cup,2,,,,16',715470,1,,,
5,IT3P,4097,2021,Playoff Serie C,4,,,,337',715470,,,,
6,IT3C,4097,2021,Serie C-C,23,2,,,1.523',715470,5,,,
7,CILP,4097,2021,Coppa Serie C,3,2,,,100',715470,2,,,
8,IT3B,4102,2020,Serie C - B,21,3,,,982',715470,,,,
9,CIT,4097,2020,Italy Cup,2,,,,12',715470,,,,
10,IT3C,4097,2020,Serie C - C,1,,,,25',715470,,,,
11,IT3P,4097,2019,Playoff Serie C,,,,,,715470,,,,
12,IT3C,4097,2019,Serie C-C,2,,,,15',715470,,,,
13,CILP,4097,2019,Coppa Serie C,,,,,,715470,,,,
0,IT2,607,2023,Serie B,12,2,,,130',1004344,,1,,
1,IJ1,12130,2023,Primavera 1,1,,,,90',1004344,,,,
2,IT1,416,2023,Serie A,,,,,,1004344,,,,
3,CIT,416,2023,Italy Cup,,,,,,1004344,,,,
4,ITJE,12130,2022,Primavera Fase Finale,1,,,,90',1004344,,,,
5,IJ1,12130,2022,Primavera 1,32,3,,,2.827',1004344,7,,,
6,CITP,12130,2022,Coppa Primavera,3,1,,,225',1004344,1,,,
7,IT1,416,2022,Serie A,,,,,,1004344,,,,
8,CIT,416,2022,Italy Cup,,,,,,1004344,,,,
9,C3GE,10846,2021,N3 - Grand Est,3,,,,213',1004344,,,,
10,F19B,12750,2021,National U19 - Grp. B,18,,,,1.587',1004344,,2,,
11,FRYC,12750,2021,Coupe Gambardella,4,1,,,360',1004344,,,,
0,IT1,416,2023,Serie A,25,4,,,1.779',467992,4,1,,1
1,CIT,416,2023,Italy Cup,1,,,,78',467992,,,,
2,IT1,416,2022,Serie A,28,6,,,2.073',467992,1,2,,
3,CIT,416,2022,Italy Cup,4,,,,343',467992,,,,
4,IT1,416,2021,Serie A,12,1,,,724',467992,,,,
5,IT1,749,2021,Serie A,21,1,,,1.532',467992,1,1,1,
6,CIT,749,2021,Italy Cup,3,1,,,176',467992,,,,
7,IT2,749,2020,Serie B,33,3,,,1.622',467992,4,2,,
8,CIT,749,2020,Italy Cup,3,,,,223',467992,,,,
9,POSB,749,2019,Serie B Play-off,1,,,,68',467992,,,,
10,IT2,749,2019,Serie B,28,6,,,1.753',467992,,,,
11,CIT,749,2019,Italy Cup,1,,,,11',467992,,,,
12,ITJP,8492,2018,Play-off/out U19,2,1,,,180',467992,,,,
13,IJ1,8492,2018,Primavera 1,30,3,,,2.551',467992,3,2,,
14,IT1,749,2018,Serie A,,,,,,467992,,,,
15,TDV,8492,2018,Viareggio Cup,,,,,,467992,,,,
16,ITJP,8492,2017,Play-off/out U19,1,,,,43',467992,,,,
17,ITJ4,49868,2017,Under 17 - A,21,2,,,1.835',467992,,,,
18,IJ2A,8492,2017,Primavera 2 - A,,,,,,467992,,,,
19,TDV,8492,2017,Viareggio Cup,,,,,,467992,,,,
20,ITJ4,49868,2016,Under 17 - A,2,,,,126',467992,,,,
0,IT1,416,2023,Serie A,25,3,,,1.564',470794,2,2,,
1,CIT,416,2023,Italy Cup,2,,,,144',470794,,1,,
2,IT1,416,2022,Serie A,14,3,,,1.180',470794,3,2,,
3,CIT,416,2022,Italy Cup,1,,,,28',470794,,,,
4,IT1,276,2022,Serie A,11,1,,,853',470794,1,,,
5,CIT,276,2022,Italy Cup,1,,,,90',470794,,,,
6,IT1,276,2021,Serie A,32,6,,,2.537',470794,4,1,1,
7,CIT,276,2021,Italy Cup,2,,,,33',470794,1,1,,
8,IT1,276,2020,Serie A,29,2,,,1.831',470794,,2,,
9,CIT,276,2020,Italy Cup,1,,,,120',470794,,1,,
10,NL2,132,2019,Keuken Kampioen Divisie,21,6,,,1.627',470794,1,3,,
11,NLP,132,2019,KNVB Beker,3,1,,,286',470794,1,1,,
12,SER1,3521,2018,Super liga,16,3,,,1.178',470794,1,3,,
13,SERP,159,2017,Kup Srbije,1,,,,90',470794,,,,
14,SER1,159,2016,Super liga,1,,,,,470794,,,,
0,GB1,931,2023,Premier League,19,2,,,816',245056,,1,,
1,FAC,931,2023,FA Cup,2,,,,180',245056,,,,
2,CGB,931,2023,EFL Cup,2,2,,,97',245056,,,,
3,GB1,931,2022,Premier League,12,1,,,407',245056,,,,
4,FAC,931,2022,FA Cup,1,,,,90',245056,,,,
5,IT1,416,2022,Serie A,16,4,,,1.192',245056,,2,,
6,CIT,416,2022,Italy Cup,3,,,,292',245056,1,1,,
7,IT1,416,2021,Serie A,35,10,,,2.985',245056,4,5,,
8,CIT,416,2021,Italy Cup,1,1,,,82',245056,,,,
9,IT1,416,2020,Serie A,32,4,,,2.109',245056,1,3,,
10,CIT,416,2020,Italy Cup,2,1,,,89',245056,,,,
11,IT1,416,2019,Serie A,30,5,,,1.857',245056,,1,1,
12,CIT,416,2019,Italy Cup,2,,,,197',245056,,,,
13,ELQ,416,2019,Europa League Qualifying,4,2,,,226',245056,,,,
14,IT1,416,2018,Serie A,24,7,,,982',245056,,2,,
15,CIT,416,2018,Italy Cup,3,,,,116',245056,,,,
16,ES1,3368,2017,LaLiga,16,4,,,995',245056,2,,,
17,CDR,3368,2017,Copa del Rey,2,2,,,153',245056,,,,
18,CIT,416,2017,Italy Cup,1,,,,27',245056,,,,
