,id,from,to,date,upcoming,season,marketValue,fee
0,398184,281,131,"Jan 1, 2022",False,21/22,€45.00m,€55.00m
1,398184,1049,281,"Aug 4, 2020",False,20/21,€45.00m,€33.50m
2,398184,6182,1049,"Jan 1, 2018",False,17/18,€1.00m,
3,398184,10200,6182,"Jul 1, 2017",False,17/18,,
4,398184,16200,10200,"Jul 1, 2016",False,16/17,,
0,127181,162,969,"Jan 26, 2023",False,22/23,€4.00m,€2.00m
1,127181,714,162,"Jan 25, 2023",False,22/23,€4.00m,End of loan
2,127181,162,714,"Jul 13, 2022",False,22/23,€5.00m,loan transfer
3,127181,13,162,"Jun 30, 2022",False,21/22,€5.00m,End of loan
4,127181,162,13,"Aug 19, 2021",False,21/22,€10.00m,loan transfer
5,127181,969,162,"Jul 15, 2019",False,19/20,€17.00m,€13.50m
6,127181,1158,969,"Jul 1, 2017",False,17/18,€2.50m,€2.50m
7,127181,2969,1158,"Jun 30, 2014",False,13/14,€1.00m,End of loan
8,127181,1158,2969,"Aug 23, 2013",False,13/14,€700k,loan transfer
9,127181,16662,1158,"Jul 1, 2010",False,10/11,,
10,127181,12752,16662,"Jul 1, 2009",False,09/10,,free transfer
0,172015,3302,714,"Jan 31, 2023",False,22/23,€3.00m,€2.20m
1,172015,1108,3302,"Aug 10, 2022",False,22/23,€5.00m,free transfer
2,172015,418,1108,"Aug 7, 2015",False,15/16,€800k,free transfer
3,172015,6767,418,"Aug 13, 2014",False,14/15,,
4,172015,2868,6767,"Jul 1, 2013",False,13/14,€400k,
5,172015,28870,2868,"Jul 1, 2011",False,11/12,,
6,172015,39822,28870,"Jul 1, 2010",False,10/11,,
0,453704,714,5358,"Jun 30, 2023",False,22/23,€2.50m,End of loan
1,453704,5358,714,"Aug 31, 2022",False,22/23,€4.00m,"Loan fee:<br /><i class=""normaler-text"">€400k</i>"
2,453704,1148,5358,"Jun 30, 2022",False,21/22,€4.00m,End of loan
3,453704,5358,1148,"Aug 17, 2021",False,21/22,€4.00m,"Loan fee:<br /><i class=""normaler-text"">€1.00m</i>"
4,453704,9668,5358,"Jul 1, 2019",False,19/20,€800k,€300k
5,453704,29095,9668,"Jun 30, 2019",False,18/19,€800k,End of loan
6,453704,9668,29095,"Aug 7, 2018",False,18/19,€200k,loan transfer
7,453704,8516,9668,"Jul 11, 2017",False,17/18,€200k,€375k
8,453704,28861,8516,"Jul 1, 2015",False,15/16,,
0,561613,10773,714,"Jul 1, 2021",False,21/22,€150k,
1,561613,9478,10773,"Jul 1, 2020",False,20/21,€50k,
2,561613,58956,9478,"Jul 1, 2018",False,18/19,,
3,561613,14737,58956,"Jul 1, 2017",False,17/18,,
4,561613,45258,14737,"Jul 1, 2016",False,16/17,,?
0,628487,9478,10773,"Jul 1, 2020",False,20/21,,
1,628487,58956,9478,"Jul 1, 2018",False,18/19,,
2,628487,14737,58956,"Jul 1, 2017",False,17/18,,
0,387687,714,3302,"Sep 1, 2023",False,23/24,€8.00m,€14.00m
1,387687,2407,714,"Jan 1, 2023",False,22/23,€7.00m,€8.00m
2,387687,18498,2407,"Jul 1, 2015",False,15/16,€1.00m,
3,387687,104463,18498,"Jan 1, 2015",False,14/15,,
4,387687,109584,104463,"Jul 1, 2014",False,14/15,,?
0,102423,3709,714,"Jan 20, 2020",False,19/20,€10.00m,€9.00m
1,102423,4083,3709,"Jul 5, 2018",False,18/19,€600k,€600k
2,102423,3709,4083,"Jun 30, 2018",False,17/18,€600k,End of loan
